episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,avg_dir_mean,std,new_best,is_bankrupt
1,XLE,1.3738,10041.44,0.41,16,0.5625,0.0058,0.8423,0.3483,True,False
2,GLD,0.5641,10100.54,1.01,11,0.6364,0.0022,0.9331,0.3465,True,False
3,ARKK,1.4038,10021.85,0.22,20,0.45,0.0062,0.9133,0.3448,False,False
4,GLD,0.2003,9979.37,-0.21,13,0.5385,0.0088,0.9447,0.3431,False,False
5,ARKK,0.67,10070.74,0.71,12,0.5,0.0066,0.9271,0.3413,False,False
6,ARKK,0.9394,10076.85,0.77,15,0.5333,0.0096,0.9249,0.3396,False,False
7,NVDA,2.3984,10276.42,2.76,13,0.6154,0.0077,0.916,0.3379,True,False
8,SPY,-0.0191,9998.37,-0.02,12,0.4167,0.0022,0.8992,0.3362,False,False
9,ARKK,0.0383,9991.33,-0.09,14,0.3571,0.0116,0.9163,0.3346,False,False
10,NVDA,-0.8117,9917.57,-0.82,17,0.4706,0.0225,0.9204,0.3329,False,False
1,XLE,-0.2365,9981.77,-0.18,13,0.6154,0.0062,0.9125,0.3983,False,False
