episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,avg_dir_mean,std,new_best,is_bankrupt
1,XLE,1.3738,10041.44,0.41,16,0.5625,0.0058,0.8423,0.3483,True,False
2,GLD,0.5641,10100.54,1.01,11,0.6364,0.0022,0.9331,0.3465,True,False
3,ARKK,1.4038,10021.85,0.22,20,0.45,0.0062,0.9133,0.3448,False,False
4,GLD,0.2003,9979.37,-0.21,13,0.5385,0.0088,0.9447,0.3431,False,False
5,ARKK,0.67,10070.74,0.71,12,0.5,0.0066,0.9271,0.3413,False,False
6,ARKK,0.9394,10076.85,0.77,15,0.5333,0.0096,0.9249,0.3396,False,False
7,NVDA,2.3984,10276.42,2.76,13,0.6154,0.0077,0.916,0.3379,True,False
8,SPY,-0.0191,9998.37,-0.02,12,0.4167,0.0022,0.8992,0.3362,False,False
9,ARKK,0.0383,9991.33,-0.09,14,0.3571,0.0116,0.9163,0.3346,False,False
10,NVDA,-0.8117,9917.57,-0.82,17,0.4706,0.0225,0.9204,0.3329,False,False
1,XLE,-0.2365,9981.77,-0.18,13,0.6154,0.0062,0.9125,0.3983,False,False
1,USO,1.4823,10174.11,1.74,14,0.7143,0.0081,0.8955,0.3963,False,False
2,XBI,0.5106,10000.32,0.0,13,0.6154,0.0079,0.9288,0.3944,False,False
1,ARKK,-98.2218,10003.1,0.03,2,1.0,0.0,0.8514,0.3924,False,False
2,ARKK,-90.2204,10000.0,0.0,2,0.5,0.0001,0.8124,0.3904,False,False
3,ARKK,-96.5704,10000.89,0.01,1,1.0,0.0,0.9465,0.3885,False,False
4,ARKK,-103.315,10000.0,0.0,0,0.0,0.0,0.863,0.3865,False,False
5,ARKK,-85.3789,9997.3,-0.03,3,0.0,0.0003,0.7782,0.3846,False,False
1,ARKK,-84.6981,10000.09,0.0,2,0.5,0.0002,0.767,0.3827,False,False
2,ARKK,-82.305,9996.05,-0.04,3,0.3333,0.0004,0.6778,0.3808,False,False
3,ARKK,-91.8024,9995.25,-0.05,3,0.3333,0.0006,0.6489,0.3789,False,False
4,ARKK,-66.7562,10003.96,0.04,9,0.5556,0.0006,0.6013,0.377,False,False
5,ARKK,-74.8714,9987.27,-0.13,8,0.25,0.0013,0.584,0.3751,False,False
6,ARKK,-90.1229,10003.09,0.03,18,0.4444,0.0007,0.5264,0.3732,False,False
7,ARKK,-86.7843,9983.72,-0.16,12,0.0833,0.002,0.5132,0.3713,False,False
8,ARKK,-67.1497,9987.75,-0.12,21,0.4286,0.0013,0.4886,0.3695,False,False
1,ARKK,-66.2823,9996.44,-0.04,16,0.625,0.0012,0.405,0.3676,False,False
2,ARKK,-45.6431,9996.55,-0.03,30,0.4,0.0013,0.3482,0.3658,False,False
3,ARKK,-31.0217,9949.32,-0.51,44,0.5,0.0057,0.3029,0.364,False,False
4,ARKK,-38.4604,9960.56,-0.39,43,0.5116,0.0071,0.2727,0.3621,False,False
5,ARKK,-82.8281,9971.95,-0.28,41,0.3659,0.0044,0.2694,0.3603,False,False
1,ARKK,-46.0976,9980.24,-0.2,35,0.4571,0.0024,0.2736,0.3585,False,False
2,ARKK,-56.5855,9972.46,-0.28,53,0.3962,0.0031,0.2528,0.3567,False,False
3,ARKK,-53.2735,9980.52,-0.19,46,0.3478,0.0019,0.2817,0.355,False,False
4,ARKK,-26.2567,9990.22,-0.1,50,0.52,0.0023,0.2257,0.3532,False,False
5,ARKK,-37.1217,9967.52,-0.32,51,0.2745,0.0033,0.2096,0.3514,False,False
1,ARKK,-16.1464,10003.56,0.04,61,0.541,0.0022,0.1996,0.3497,False,False
2,ARKK,-30.8397,9970.04,-0.3,52,0.4038,0.0032,0.1757,0.3479,False,False
3,ARKK,-30.2986,9998.06,-0.02,57,0.4561,0.0027,0.1426,0.3462,False,False
4,ARKK,-16.1798,10151.02,1.51,77,0.5325,0.0071,0.1252,0.3444,False,False
5,ARKK,-18.6754,9948.17,-0.52,71,0.4225,0.0065,0.12,0.3427,False,False
1,PYPL,-16.6402,9959.36,-0.41,67,0.3881,0.0053,0.1116,0.341,False,False
2,PYPL,-26.2377,9986.29,-0.14,61,0.4918,0.0023,0.1215,0.3393,False,False
3,PYPL,-58.0239,9969.57,-0.3,69,0.4058,0.0039,0.0913,0.3376,False,False
4,PYPL,-17.2275,9983.18,-0.17,80,0.2875,0.0017,0.1061,0.3359,False,False
5,PYPL,-22.6846,9973.52,-0.26,91,0.4176,0.0029,0.0964,0.3342,False,False
