episode,ticker,friction_mode,total_reward,final_balance,growth_pct,benchmark_pct,alpha_vs_bh_pct,sharpe,sortino,num_trades,win_rate,max_drawdown,avg_dir_mean,std,new_best,is_bankrupt
1,XLE,low,-12.0651,9987.45,-0.13,-2.84,2.71,-7.0771,-6.9505,23,0.3478,0.0014,-0.7304,0.4455,False,False,True
2,NVDA,low,13.5797,10035.43,0.35,11.11,-10.76,5.096,7.9243,18,0.3333,0.0035,-0.8293,0.4411,True,False,False
1,IWM,low,-3.4545,10000.92,0.01,-1.27,1.28,0.2492,0.3602,24,0.4583,0.0024,-0.6886,0.4367,False,False,True
2,IWM,low,27.6835,9996.05,-0.04,-1.32,1.28,-0.8899,-0.624,26,0.3077,0.0022,-0.6494,0.4323,False,False,True
3,XBI,low,-36.0589,9953.99,-0.46,-11.7,11.24,-8.943,-7.2806,22,0.2273,0.0054,-0.8667,0.428,False,False,True
4,GLD,low,-24.2835,9995.52,-0.04,-2.35,2.31,-1.6136,-2.0597,29,0.4483,0.0017,-0.5788,0.4237,False,False,True
5,GLD,low,-26.9524,9977.54,-0.22,-3.53,3.31,-8.5868,-5.6434,33,0.303,0.0025,-0.5385,0.4195,False,False,True
1,AAPL,low,-1.9799,9982.38,-0.18,3.71,-3.89,-6.7662,-5.9176,25,0.36,0.002,-0.6228,0.4153,False,False,False
2,XLE,low,-14.3865,9987.95,-0.12,0.28,-0.4,-3.0111,-4.1738,19,0.2105,0.003,-0.6981,0.4112,False,False,False
3,GLD,low,-18.6448,9993.44,-0.07,-1.17,1.1,-3.2054,-2.639,21,0.4286,0.0011,-0.6074,0.4071,False,False,True
4,XLE,low,2.8405,9973.37,-0.27,-9.53,9.26,-8.1695,-5.5063,25,0.48,0.0033,-0.5634,0.403,False,False,True
5,SPY,low,0.6044,10005.78,0.06,4.77,-4.71,0.7616,1.2429,19,0.3684,0.003,-0.7257,0.399,False,False,True
1,AAPL,low,-6.7142,9987.47,-0.13,-3.11,2.98,-2.7056,-2.8915,23,0.4348,0.003,-0.5608,0.395,False,False,True
2,GLD,low,-2.2089,9996.81,-0.03,2.97,-3.0,-0.8915,-0.9354,21,0.381,0.0023,-0.6855,0.3911,False,False,False
3,GLD,low,34.1181,10021.63,0.22,3.43,-3.21,9.2883,13.4052,17,0.5294,0.0008,-0.7409,0.3872,False,False,True
4,IWM,low,6.2774,9983.51,-0.16,-0.13,-0.03,-3.9879,-4.2597,23,0.3478,0.0026,-0.6485,0.3833,False,False,True
5,NVDA,low,-3.0389,9976.13,-0.24,-9.61,9.37,-5.6052,-4.568,18,0.2778,0.0046,-0.6902,0.3795,False,False,True
6,IWM,low,-20.66,9985.16,-0.15,3.57,-3.72,-5.768,-5.1923,24,0.3333,0.0022,-0.6449,0.3757,False,False,False
7,GLD,low,-10.1735,10029.72,0.3,-5.43,5.73,6.2195,14.4128,17,0.4706,0.0011,-0.6087,0.372,False,False,False
8,GLD,low,-14.4917,9988.23,-0.12,-4.33,4.21,-7.9397,-6.8809,25,0.36,0.0014,-0.6293,0.3682,False,False,True
9,GLD,low,21.1936,10028.07,0.28,5.56,-5.28,7.2613,12.7337,28,0.5,0.001,-0.5181,0.3646,False,False,True
10,GLD,low,16.2106,10032.05,0.32,5.21,-4.89,7.3051,10.1894,32,0.5312,0.0016,-0.4684,0.3609,False,False,True
11,XBI,low,-13.9519,9988.48,-0.12,-2.26,2.14,-1.2555,-1.2196,28,0.5714,0.0036,-0.5425,0.3573,False,False,True
12,XLE,low,9.8245,10036.86,0.37,-1.11,1.48,5.1573,5.6717,30,0.6,0.0019,-0.4417,0.3538,True,False,False
13,GLD,low,-3.2533,9997.84,-0.02,1.9,-1.92,-0.5574,-0.8901,52,0.3077,0.0014,-0.2971,0.3502,False,False,True
14,AAPL,low,-7.4222,9987.05,-0.13,-4.62,4.49,-4.8078,-3.855,42,0.5714,0.0018,-0.2865,0.3467,False,False,True
15,NVDA,low,-4.3336,9966.75,-0.33,-3.89,3.56,-8.3534,-5.0285,27,0.3704,0.0035,-0.2802,0.3433,False,False,True
16,AAPL,low,-11.2783,9988.96,-0.11,1.92,-2.03,-9.9664,-8.1104,47,0.383,0.0011,-0.2201,0.3399,False,False,True
17,NVDA,low,-13.1486,9980.39,-0.2,-1.4,1.2,-10.222,-7.4658,52,0.4231,0.0024,-0.1653,0.3365,False,False,True
18,IWM,low,1.0635,9992.77,-0.07,1.67,-1.74,-6.1288,-4.5018,64,0.2969,0.001,-0.0618,0.3331,False,False,True
19,XLE,low,0.7075,9989.97,-0.1,1.14,-1.24,-8.3486,-5.264,61,0.3115,0.0013,-0.0682,0.3298,False,False,True
20,NVDA,low,0.2393,9985.85,-0.14,-2.54,2.4,-6.6665,-3.234,37,0.3784,0.0018,-0.0589,0.3265,False,False,False
21,GLD,low,-3.706,9992.88,-0.07,2.39,-2.46,-8.7904,-6.5839,61,0.2459,0.0008,-0.0459,0.3232,False,False,False
22,XBI,low,-3.5217,9989.6,-0.1,-2.87,2.77,-9.4943,-5.988,60,0.4,0.0012,-0.0546,0.32,False,False,True
23,XBI,low,4.7044,9977.42,-0.23,-13.82,13.59,-5.7514,-2.8829,57,0.5088,0.0029,-0.0584,0.3168,False,False,False
24,XLE,low,-5.9099,9980.81,-0.19,-1.21,1.02,-11.6852,-7.7628,64,0.3594,0.0022,-0.0666,0.3137,False,False,True
25,IWM,low,16.2145,10007.2,0.07,-7.91,7.98,3.1892,2.4232,59,0.5254,0.0014,-0.0561,0.3105,False,False,True
26,GLD,low,-16.6622,9987.41,-0.13,0.64,-0.77,-14.3189,-8.8962,60,0.2833,0.0013,-0.0661,0.3074,False,False,False
27,IWM,low,-17.7169,9994.68,-0.05,4.78,-4.83,-7.8174,-5.5054,64,0.4219,0.0006,-0.0632,0.3044,False,False,False
28,AAPL,low,-8.7329,9988.95,-0.11,5.73,-5.84,-6.5517,-4.5969,56,0.375,0.0015,-0.0682,0.3013,False,False,False
29,NVDA,low,7.0872,9994.19,-0.06,-20.3,20.24,-4.0458,-2.4765,41,0.4634,0.001,-0.0601,0.2983,False,False,True
30,AAPL,low,-6.8937,9987.83,-0.12,-5.76,5.64,-6.0617,-3.5231,56,0.3214,0.0013,-0.0493,0.2954,False,False,True
31,IWM,low,-11.8017,9995.43,-0.05,0.55,-0.6,-1.5798,-1.1732,56,0.4464,0.002,-0.0401,0.2924,False,False,True
32,GLD,low,-6.0188,9987.13,-0.13,3.47,-3.6,-14.8436,-8.4747,59,0.2373,0.0015,-0.0416,0.2895,False,False,False
33,SPY,low,-12.3898,9994.21,-0.06,-9.9,9.84,-3.8031,-2.7812,54,0.4074,0.0009,-0.0423,0.2866,False,False,True
34,AAPL,low,-7.4349,9991.17,-0.09,-3.91,3.82,-8.2736,-4.8876,63,0.3651,0.0009,-0.0345,0.2838,False,False,False
35,AAPL,low,-18.3398,9989.67,-0.1,-0.36,0.26,-19.7928,-14.881,60,0.3,0.0011,-0.032,0.2809,False,False,False
36,AAPL,low,-0.4191,9985.02,-0.15,-3.12,2.97,-4.7734,-3.1889,47,0.383,0.0023,-0.032,0.2781,False,False,True
37,XBI,low,-50.6556,9983.41,-0.17,-5.17,5.0,-6.2002,-3.319,47,0.383,0.0021,-0.0362,0.2753,False,False,False
38,IWM,low,-20.5749,9987.5,-0.12,-8.32,8.2,-11.5728,-6.3217,52,0.3846,0.0014,-0.0363,0.2726,False,False,True
39,NVDA,low,-11.7085,9991.74,-0.08,2.36,-2.44,-3.124,-1.8348,46,0.4783,0.001,-0.0322,0.2699,False,False,False
40,NVDA,low,0.2016,9995.84,-0.04,6.65,-6.69,-1.0586,-0.7291,58,0.5862,0.0021,-0.0285,0.2672,False,False,False
41,GLD,low,-9.0988,9987.74,-0.12,2.95,-3.07,-11.1777,-5.5747,60,0.3667,0.0013,-0.0274,0.2645,False,False,False
42,GLD,low,-21.1575,9989.83,-0.1,0.12,-0.22,-26.5551,-19.6386,59,0.1864,0.001,-0.019,0.2619,False,False,False
43,SPY,low,-13.7085,9993.52,-0.06,4.56,-4.62,-18.0178,-15.6257,58,0.2241,0.0007,-0.0196,0.2593,False,False,True
44,SPY,low,5.8063,9985.93,-0.14,4.79,-4.93,-5.2655,-2.239,52,0.3846,0.0018,-0.0232,0.2567,False,False,True
45,AAPL,low,-8.8191,9990.87,-0.09,-0.15,0.06,-8.5962,-5.8352,55,0.4,0.0009,-0.0249,0.2541,False,False,False
46,SPY,low,-8.3391,9985.86,-0.14,2.1,-2.24,-6.5298,-3.5885,56,0.4107,0.0019,-0.026,0.2516,False,False,True
47,SPY,low,-8.4134,9992.23,-0.08,1.39,-1.47,-17.2718,-10.532,61,0.3115,0.0008,-0.0345,0.2491,False,False,True
1,USO,low,-2.2182,9987.3,-0.13,-5.77,5.64,-4.5538,-2.3756,47,0.3617,0.0022,-0.0382,0.2491,False,False,True
1,IWM,low,-4.1229,9980.01,-0.2,3.18,-3.38,-8.5508,-4.5536,59,0.3729,0.0022,-0.036,0.2466,False,False,False
2,XLE,low,4.6348,9996.35,-0.04,-0.36,0.32,-1.0819,-0.6231,55,0.5636,0.0016,-0.0367,0.2441,False,False,False
3,NVDA,low,3.0471,9971.72,-0.28,1.78,-2.06,-9.1445,-4.9171,38,0.5,0.0031,-0.0322,0.2417,False,False,False
4,XBI,low,3.4712,9988.79,-0.11,-1.7,1.59,-11.166,-6.6847,53,0.3585,0.0014,-0.0269,0.2393,False,False,False
5,XLE,low,-0.9493,9984.93,-0.15,-0.67,0.52,-11.2353,-6.0078,55,0.5273,0.0015,-0.0249,0.2369,False,False,True
6,AAPL,low,-4.6557,10000.0,-0.0,1.03,-1.03,0.0036,0.0048,55,0.4364,0.0017,-0.0257,0.2345,False,False,False
7,AAPL,low,-9.3586,9988.07,-0.12,2.14,-2.26,-7.9628,-4.9868,57,0.5439,0.0015,-0.0168,0.2322,False,False,True
8,XLE,low,-2.0945,9990.42,-0.1,0.71,-0.81,-3.7996,-1.8475,38,0.4474,0.0019,-0.0075,0.2299,False,False,False
9,NVDA,low,-13.3274,9981.27,-0.19,8.51,-8.7,-15.1993,-9.4084,52,0.3269,0.0022,-0.0024,0.2276,False,False,False
10,GLD,low,-18.384,9995.25,-0.05,-5.47,5.42,-6.9685,-6.7716,55,0.3455,0.0006,-0.0055,0.2253,False,False,True
11,SPY,low,6.179,9990.93,-0.09,1.94,-2.03,-5.383,-3.1144,54,0.3333,0.0013,-0.0059,0.2231,False,False,True
12,NVDA,low,-15.1407,9986.63,-0.13,12.15,-12.28,-10.9922,-7.5823,51,0.3725,0.0019,0.0001,0.2208,False,False,False
13,NVDA,low,-0.8534,9988.5,-0.12,11.9,-12.02,-4.9243,-3.4733,54,0.5,0.0014,0.0114,0.2186,False,False,True
14,IWM,low,-8.7782,9995.16,-0.05,4.06,-4.11,-4.2901,-2.6947,55,0.4364,0.0008,0.0081,0.2165,False,False,True
15,AAPL,low,-12.1552,9993.04,-0.07,2.17,-2.24,-4.2855,-2.8169,55,0.5455,0.0009,0.0028,0.2143,False,False,True
16,IWM,low,3.1053,9991.77,-0.08,9.46,-9.54,-6.1818,-3.9726,50,0.36,0.0008,0.0016,0.2122,False,False,False
17,GLD,low,10.9131,10002.02,0.02,1.1,-1.08,0.7855,0.592,50,0.46,0.0007,0.0047,0.21,False,False,False
18,AAPL,low,-6.1032,9986.68,-0.13,-5.66,5.53,-7.7531,-4.7247,54,0.3704,0.0014,0.0122,0.208,False,False,False
19,GLD,low,4.7098,9996.56,-0.03,-0.78,0.75,-5.2345,-5.2201,55,0.2,0.0003,0.0017,0.2059,False,False,True
20,AAPL,low,0.5387,9998.39,-0.02,6.6,-6.62,-0.3633,-0.4003,53,0.3774,0.0027,0.0097,0.2038,False,False,False
21,SPY,low,1.6971,9996.66,-0.03,-0.84,0.81,-3.072,-1.9443,44,0.3636,0.0008,0.0201,0.2018,False,False,False
22,XBI,low,-0.0433,9983.58,-0.16,-6.28,6.12,-6.65,-3.7725,49,0.4082,0.0023,0.0103,0.1998,False,False,False
23,AAPL,low,-5.1856,9985.67,-0.14,3.91,-4.05,-11.6202,-6.2669,45,0.3556,0.0016,0.0121,0.1978,False,False,True
24,XLE,low,11.0877,10035.02,0.35,-6.67,7.02,5.6947,4.5225,53,0.5472,0.0023,0.0077,0.1958,False,False,True
25,GLD,low,-0.0435,9991.37,-0.09,-4.9,4.81,-16.9903,-12.6329,53,0.2453,0.001,0.0184,0.1939,False,False,False
26,XLE,low,-6.0996,9996.31,-0.04,-4.53,4.49,-3.0265,-2.272,45,0.5111,0.0006,0.0166,0.1919,False,False,True
27,XBI,low,6.0942,9995.2,-0.05,-5.56,5.51,-3.4301,-2.4267,44,0.3864,0.0008,0.0168,0.19,False,False,False
28,NVDA,low,-5.847,9993.91,-0.06,10.8,-10.86,-2.0875,-1.476,49,0.3469,0.0017,0.0205,0.1881,False,False,False
29,GLD,low,7.3004,9992.33,-0.08,-0.17,0.09,-5.3515,-2.3842,49,0.4286,0.001,0.0258,0.1862,False,False,True
30,GLD,low,-2.3832,9997.05,-0.03,2.95,-2.98,-4.5797,-3.236,42,0.2619,0.0006,0.0274,0.1844,False,False,False
1,GLD,low,-17.9197,9992.92,-0.07,-1.83,1.76,-17.5072,-13.1268,45,0.2444,0.0007,0.0384,0.1825,False,False,False
2,XBI,low,-0.987,9993.44,-0.07,8.21,-8.28,-3.4155,-2.0807,41,0.439,0.0013,0.037,0.1807,False,False,True
3,XLE,low,-0.3647,9975.98,-0.24,-1.51,1.27,-15.1319,-6.788,34,0.3235,0.0024,0.0404,0.1789,False,False,True
4,SPY,low,-19.4407,9986.84,-0.13,-2.54,2.41,-7.9299,-5.0773,40,0.475,0.0016,0.0439,0.1771,False,False,True
5,SPY,low,0.7323,9995.06,-0.05,2.89,-2.94,-2.6002,-2.0177,44,0.3864,0.0011,0.0425,0.1754,False,False,True
6,XLE,low,-16.4636,9982.93,-0.17,-3.16,2.99,-6.2564,-2.7774,43,0.4419,0.0019,0.0434,0.1736,False,False,False
7,XBI,low,-10.1903,9989.42,-0.11,-6.43,6.32,-3.1258,-2.5398,37,0.3243,0.0024,0.0414,0.1719,False,False,False
8,SPY,low,-4.2644,9993.52,-0.06,-4.04,3.98,-6.4153,-5.7659,44,0.4091,0.0009,0.0367,0.1702,False,False,False
9,AAPL,low,-1.5392,10000.53,0.01,-0.96,0.97,0.3284,0.2607,38,0.5,0.0007,0.0277,0.1685,False,False,True
10,NVDA,low,-5.9383,9994.37,-0.06,6.31,-6.37,-4.4111,-2.814,39,0.4103,0.0008,0.0292,0.1668,False,False,True
1,NVDA,low,4.4267,10039.82,0.4,24.55,-24.15,5.0494,5.3816,36,0.5833,0.0015,0.0207,0.1651,True,False,False
2,NVDA,low,9.9075,9976.27,-0.24,-12.07,11.83,-6.0881,-2.1843,28,0.5,0.0028,0.0202,0.1635,False,False,False
1,SPY,low,-10.7475,9988.15,-0.12,-8.56,8.44,-9.6598,-6.458,39,0.4103,0.0012,0.027,0.1619,False,False,False
2,SPY,low,-12.3332,9992.64,-0.07,-1.22,1.15,-7.5714,-4.9923,37,0.2973,0.0009,0.0277,0.1602,False,False,True
1,QQQ,low,7.0618,9994.15,-0.06,0.83,-0.89,-2.9797,-1.4994,37,0.5405,0.0012,0.0239,0.1586,False,False,False
