episode,ticker,net_worth,growth_pct,benchmark_pct,alpha_pct,sharpe,sortino,win_rate,trades,head_grad_norm,ext_grad_norm,fus_grad_norm,is_new_best
1,AAPL,9972.69,-0.27,1.97,-2.25,-3.734,-3.263,0.5,40,0.5,0.0548,0.5,False
1,ARKK,10143.94,1.44,1.64,-0.2,3.586,5.526,0.512,41,0.5,0.0548,0.5,False
1,GLD,9989.88,-0.1,1.55,-1.65,-6.931,-5.529,0.333,39,0.5,0.0548,0.5,False
1,IWM,9948.99,-0.51,-3.77,3.26,-6.09,-4.609,0.55,40,0.5,0.0548,0.5,False
1,KRE,9978.45,-0.22,3.38,-3.59,-3.252,-2.284,0.45,40,0.5,0.0548,0.5,False
1,NFLX,10006.87,0.07,-5.61,5.68,0.644,0.615,0.59,39,0.5,0.0548,0.5,False
1,NVDA,10056.41,0.56,1.66,-1.1,3.131,3.728,0.538,39,0.5,0.0548,0.5,False
1,PYPL,9994.99,-0.05,10.05,-10.1,-1.599,-1.752,0.35,40,0.5,0.0548,0.5,False
1,QQQ,9987.01,-0.13,1.85,-1.98,-2.678,-2.447,0.4,40,0.5,0.0548,0.5,False
1,SPY,9982.5,-0.17,2.65,-2.82,-15.792,-11.871,0.375,40,0.5,0.0548,0.5,False
1,UNG,9842.43,-1.58,17.18,-18.75,-5.923,-3.668,0.442,43,0.5,0.0548,0.5,False
1,USO,10074.76,0.75,5.91,-5.16,4.519,4.946,0.718,39,0.5,0.0548,0.5,False
1,XBI,9936.9,-0.63,-5.98,5.35,-6.935,-5.147,0.381,42,0.5,0.0548,0.5,False
1,XLE,9989.84,-0.1,1.25,-1.35,-2.451,-2.441,0.513,39,0.5,0.0548,0.5,False
2,AAPL,9972.29,-0.28,12.84,-13.11,-7.292,-5.489,0.4,40,0.5,0.0988,0.5,False
2,ARKK,9951.38,-0.49,13.14,-13.63,-2.708,-2.259,0.415,41,0.5,0.0988,0.5,False
2,GLD,9973.78,-0.26,-2.05,1.79,-4.784,-5.646,0.4,40,0.5,0.0988,0.5,False
2,IWM,9981.04,-0.19,-2.64,2.45,-7.535,-5.086,0.45,40,0.5,0.0988,0.5,False
2,KRE,9975.04,-0.25,8.33,-8.58,-4.557,-3.473,0.561,41,0.5,0.0988,0.5,False
2,NFLX,9984.49,-0.16,5.19,-5.35,-2.878,-2.698,0.375,40,0.5,0.0988,0.5,False
