trial,score,gamma,epsilon,head_lr,extractor_lr,entropy_coef,entropy_decay,std_min,std_decay,lam,epochs
1,-4.3965,0.98,0.2,0.0001,2e-05,0.02,0.998,0.1,0.99,0.97,8
2,-9.4577,0.99,0.1,0.0002,8e-05,0.01,0.992,0.1,0.998,0.97,8
3,-10.3382,0.995,0.2,0.0001,5e-05,0.005,0.998,0.2,0.998,0.9,8
4,-4.1425,0.98,0.25,0.0001,2e-05,0.02,0.992,0.2,0.998,0.97,4
5,-10.4125,0.995,0.25,0.0001,2e-05,0.005,0.995,0.2,0.99,0.95,8
6,-8.5171,0.98,0.15,0.0002,5e-05,0.03,0.998,0.2,0.998,0.9,4
7,-9.1529,0.98,0.2,0.0001,5e-05,0.01,0.995,0.2,0.995,0.97,8
8,-12.5801,0.99,0.2,0.0001,2e-05,0.005,0.995,0.1,0.995,0.9,8
9,-5.2303,0.98,0.2,0.0001,8e-05,0.02,0.998,0.2,0.99,0.95,8
10,-7.8085,0.98,0.2,5e-05,2e-05,0.03,0.995,0.15,0.998,0.95,2
11,-4.2312,0.995,0.1,5e-05,5e-05,0.005,0.995,0.2,0.995,0.97,8
12,-4.4626,0.995,0.25,0.0002,5e-05,0.03,0.998,0.15,0.995,0.9,2
13,-12.6591,0.99,0.2,0.0001,5e-05,0.005,0.992,0.1,0.995,0.92,4
14,-7.5444,0.98,0.15,0.0001,2e-05,0.005,0.995,0.15,0.998,0.92,4
15,-7.1509,0.995,0.15,0.0001,2e-05,0.02,0.992,0.1,0.995,0.92,2
