episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
1,RELIANCE.NS,-59.2336,10461.99,96,0.5312,0.1577,0.2991,True,False
2,RELIANCE.NS,-222.2266,8546.77,99,0.5354,0.2315,0.2982,False,False
3,RELIANCE.NS,-0.2898,11009.29,101,0.604,0.1936,0.2973,True,False
4,RELIANCE.NS,0.3474,9190.74,99,0.5051,0.1678,0.2964,False,False
5,RELIANCE.NS,1.9418,10171.53,101,0.505,0.178,0.2955,False,False
1,RELIANCE.NS,-99.3593,9399.54,100,0.5,0.1981,0.2946,False,False
2,RELIANCE.NS,0.2376,9960.69,99,0.5354,0.1179,0.2938,False,False
3,RELIANCE.NS,-4.7703,10315.18,102,0.5784,0.1514,0.2929,False,False
4,RELIANCE.NS,1.1969,10406.85,102,0.5588,0.134,0.292,False,False
5,RELIANCE.NS,0.5961,13684.33,101,0.5941,0.079,0.2911,True,False
6,RELIANCE.NS,4.6166,13250.63,103,0.6214,0.0876,0.2902,False,False
7,RELIANCE.NS,-295.8813,8930.7,101,0.5347,0.1685,0.2894,False,False
8,RELIANCE.NS,3.0544,11317.35,98,0.5306,0.1238,0.2885,False,False
9,RELIANCE.NS,-2.0843,9732.46,100,0.57,0.1216,0.2876,False,False
10,RELIANCE.NS,-0.6709,9225.66,101,0.4851,0.1579,0.2868,False,False
1,RELIANCE.NS,-678.6283,7859.76,61,0.4754,0.2389,0.2859,False,True
2,RELIANCE.NS,-3.4975,10639.95,97,0.5052,0.1194,0.2851,False,False
3,RELIANCE.NS,1.592,10359.13,97,0.5464,0.0982,0.2842,False,False
4,RELIANCE.NS,3.4298,10919.14,97,0.5979,0.0788,0.2834,False,False
5,RELIANCE.NS,-592.0207,8445.69,97,0.433,0.2067,0.2825,False,False
6,RELIANCE.NS,1.4576,11566.84,99,0.5859,0.137,0.2817,False,False
7,RELIANCE.NS,-3.5465,11022.33,95,0.5158,0.119,0.2808,False,False
8,RELIANCE.NS,-4.0236,9290.57,96,0.5208,0.1281,0.28,False,False
9,RELIANCE.NS,-353.6456,7969.42,41,0.3902,0.2031,0.2791,False,True
10,RELIANCE.NS,-846.3924,7995.85,94,0.4362,0.2401,0.2783,False,True
1,RELIANCE.NS,-785.6384,7976.78,60,0.45,0.2023,0.2775,False,True
2,RELIANCE.NS,-3.5712,9205.44,83,0.5181,0.1064,0.2766,False,False
3,RELIANCE.NS,-13.7958,9017.81,84,0.4762,0.1367,0.2758,False,False
4,RELIANCE.NS,-1799.6652,8375.24,77,0.4675,0.1849,0.275,False,False
5,RELIANCE.NS,-1.272,10111.97,87,0.4828,0.1297,0.2741,False,False
6,RELIANCE.NS,-1089.2606,8202.52,87,0.4368,0.2015,0.2733,False,False
7,RELIANCE.NS,-530.7842,8690.01,92,0.4565,0.1594,0.2725,False,False
8,RELIANCE.NS,-236.8832,7965.09,32,0.3125,0.2035,0.2717,False,True
9,RELIANCE.NS,-375.6438,8507.59,92,0.4783,0.1851,0.2709,False,False
10,RELIANCE.NS,-297.1456,7992.79,35,0.3714,0.2007,0.2701,False,True
1,RELIANCE.NS,-5.4883,9352.01,68,0.4706,0.0954,0.2692,False,False
2,RELIANCE.NS,-1197.7578,8593.72,68,0.3971,0.1739,0.2684,False,False
3,RELIANCE.NS,-0.6238,10179.26,62,0.4839,0.0784,0.2676,False,False
4,RELIANCE.NS,-8.2006,9552.6,67,0.5373,0.1013,0.2668,False,False
5,RELIANCE.NS,-654.8093,8370.9,76,0.3816,0.1811,0.266,False,False
6,RELIANCE.NS,-71.1144,8893.53,75,0.4133,0.1188,0.2652,False,False
7,RELIANCE.NS,-3.6246,9567.71,70,0.4286,0.0764,0.2644,False,False
8,RELIANCE.NS,-27.4644,8845.64,81,0.5432,0.1388,0.2636,False,False
9,RELIANCE.NS,-4.2772,10221.85,78,0.6026,0.0554,0.2629,False,False
10,RELIANCE.NS,-2.51,10339.07,80,0.5625,0.0773,0.2621,False,False
1,RELIANCE.NS,-2.5751,10130.5,64,0.5156,0.0428,0.2613,False,False
2,RELIANCE.NS,-50.3966,9005.22,66,0.5758,0.1253,0.2605,False,False
3,RELIANCE.NS,-2.9539,10044.49,75,0.56,0.112,0.2597,False,False
4,RELIANCE.NS,-475.0681,7964.44,38,0.3421,0.204,0.2589,False,True
5,RELIANCE.NS,-2.5913,10328.9,77,0.5455,0.0844,0.2582,False,False
6,RELIANCE.NS,-3.4791,9805.01,79,0.519,0.0891,0.2574,False,False
7,RELIANCE.NS,-2.4863,10649.18,73,0.5616,0.0956,0.2566,False,False
8,RELIANCE.NS,-4.6413,9277.45,73,0.4521,0.123,0.2558,False,False
9,RELIANCE.NS,0.5595,11926.91,73,0.589,0.0621,0.2551,False,False
10,RELIANCE.NS,-338.2096,9669.55,79,0.519,0.1409,0.2543,False,False
1,RELIANCE.NS,-5.3634,10378.12,44,0.5682,0.068,0.2535,False,False
2,RELIANCE.NS,-4.8606,9963.09,39,0.5385,0.1136,0.2528,False,False
3,RELIANCE.NS,-4.0004,9422.12,45,0.4444,0.0681,0.252,False,False
4,RELIANCE.NS,-6.5418,9809.28,34,0.4412,0.0646,0.2513,False,False
5,RELIANCE.NS,-3.4477,9658.79,39,0.3333,0.0595,0.2505,False,False
6,RELIANCE.NS,-3.0388,9242.07,39,0.4103,0.1283,0.2498,False,False
7,RELIANCE.NS,-3.8383,9833.58,45,0.5333,0.0471,0.249,False,False
8,RELIANCE.NS,-2.2028,10527.64,51,0.5686,0.0442,0.2483,False,False
9,RELIANCE.NS,-5.3045,10640.12,39,0.5641,0.03,0.2475,False,False
10,RELIANCE.NS,-5.7693,9635.72,33,0.5455,0.049,0.2468,False,False
1,RELIANCE.NS,-4.9227,10054.91,29,0.7241,0.0526,0.246,False,False
2,RELIANCE.NS,-2.7389,9771.36,30,0.5,0.0713,0.2453,False,False
3,RELIANCE.NS,-3.7141,10057.12,31,0.5806,0.0638,0.2446,False,False
4,RELIANCE.NS,-6.5288,9065.11,29,0.4138,0.0935,0.2438,False,False
5,RELIANCE.NS,-5.1948,9456.24,25,0.52,0.0593,0.2431,False,False
6,RELIANCE.NS,-9.2439,8997.37,23,0.3478,0.1043,0.2424,False,False
7,RELIANCE.NS,-5.1608,9405.26,32,0.4375,0.0802,0.2416,False,False
8,RELIANCE.NS,-4.2992,9576.6,29,0.4828,0.0461,0.2409,False,False
9,RELIANCE.NS,-85.8647,8998.74,35,0.4857,0.1197,0.2402,False,False
10,RELIANCE.NS,-6.2003,9809.66,33,0.5152,0.0624,0.2395,False,False
