episode,ticker,total_reward,final_balance,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
1,RELIANCE.NS,-0.1406,10702.03,215,0.5349,0.1936,0.2997,True,False
2,LT.NS,-569.8401,6476.53,55,0.4,0.3629,0.2994,False,True
3,ICICIBANK.NS,-279.5797,6509.25,31,0.4194,0.4948,0.2991,False,True
4,INFY.NS,-207.8736,6422.86,25,0.4,0.4159,0.2988,False,True
5,ADANIPORTS.NS,-138.6015,6739.68,47,0.5319,0.5509,0.2985,False,True
6,ZEEL.NS,-103.5,6320.78,77,0.5455,0.4734,0.2982,False,True
7,ITC.NS,-688.3739,6616.22,145,0.469,0.405,0.2979,False,True
8,HINDUNILVR.NS,-1060.858,6488.31,180,0.4778,0.3986,0.2976,False,True
9,TCS.NS,-319.6182,6493.83,82,0.439,0.4209,0.2973,False,True
10,ICICIBANK.NS,-468.1617,6251.68,62,0.4516,0.4665,0.297,False,True
11,ITC.NS,-555.2377,6356.98,88,0.5,0.4303,0.2967,False,True
12,ZEEL.NS,-424.8205,6498.89,102,0.4608,0.3839,0.2964,False,True
13,TCS.NS,-399.4545,6572.4,77,0.4026,0.397,0.2961,False,True
14,ADANIPORTS.NS,-192.25,6495.26,45,0.4222,0.3874,0.2958,False,True
15,HINDUNILVR.NS,-338.1479,6470.46,55,0.2727,0.3706,0.2955,False,True
16,ZEEL.NS,-108.4236,6329.27,109,0.4862,0.5644,0.2952,False,True
17,ADANIPORTS.NS,-171.9672,9920.8,157,0.465,0.3948,0.2949,False,False
18,ADANIPORTS.NS,-129.3256,6086.81,111,0.4595,0.4098,0.2946,False,True
19,HINDUNILVR.NS,-940.9422,6495.75,130,0.4538,0.3699,0.2944,False,True
20,LT.NS,-681.1626,6496.98,76,0.5526,0.4192,0.2941,False,True
1,LT.NS,-101.8122,8344.86,156,0.5128,0.2942,0.2938,False,False
2,RELIANCE.NS,-1341.9141,6962.45,159,0.478,0.3513,0.2935,False,False
3,ADANIPORTS.NS,-6.402,9970.8,160,0.5,0.3046,0.2932,False,False
4,ZEEL.NS,-6.0856,13005.25,130,0.5,0.242,0.2929,True,False
5,LT.NS,-1801.4863,7026.46,139,0.446,0.3411,0.2926,False,False
6,ITC.NS,-243.8635,7669.8,132,0.5,0.3126,0.2923,False,False
7,ICICIBANK.NS,-1051.0106,7467.03,131,0.5115,0.328,0.292,False,False
8,YESBANK.NS,-247.2881,6399.66,73,0.4932,0.4406,0.2917,False,True
9,LT.NS,-647.7298,6910.0,116,0.4569,0.3171,0.2914,False,False
10,ICICIBANK.NS,-578.4374,7349.54,124,0.4677,0.3382,0.2911,False,False
11,ICICIBANK.NS,-334.6381,8039.67,126,0.4524,0.2917,0.2908,False,False
12,HINDUNILVR.NS,-31.9211,8169.95,109,0.5413,0.2202,0.2905,False,False
13,YESBANK.NS,-390.3778,7161.39,110,0.4636,0.3582,0.2903,False,False
14,ADANIPORTS.NS,-8.5184,11654.05,118,0.5424,0.2349,0.29,False,False
15,ADANIPORTS.NS,-747.3547,6568.2,107,0.4766,0.3754,0.2897,False,True
16,HINDUNILVR.NS,-54.1489,8185.05,122,0.4918,0.2289,0.2894,False,False
17,TCS.NS,-293.1985,7846.63,123,0.4634,0.269,0.2891,False,False
18,ITC.NS,-703.1685,6846.2,148,0.4797,0.3154,0.2888,False,False
19,ICICIBANK.NS,-138.344,7443.65,106,0.4906,0.3172,0.2885,False,False
20,RELIANCE.NS,-87.6053,8626.02,117,0.4274,0.2237,0.2882,False,False
1,ZEEL.NS,-512.7808,5456.26,140,0.5429,0.5705,0.2879,False,True
2,HINDUNILVR.NS,-749.9758,6569.11,99,0.3939,0.3612,0.2877,False,True
3,TCS.NS,-14.1191,9004.34,140,0.5286,0.2116,0.2874,False,False
4,RELIANCE.NS,-217.6039,8021.61,164,0.4695,0.2519,0.2871,False,False
5,ITC.NS,-70.3038,8110.84,153,0.4967,0.2746,0.2868,False,False
6,YESBANK.NS,-532.5613,6424.73,97,0.4948,0.3885,0.2865,False,True
