episode,ticker,total_reward,final_balance,growth_pct,num_trades,win_rate,max_drawdown,std,new_best,is_bankrupt
1,ITC.NS,14.4219,19679.15,96.79,61,0.5738,0.2274,0.2997,True,False
2,HINDUNILVR.NS,-2.5048,10800.84,8.01,180,0.4944,0.1938,0.2994,False,False
3,ZEEL.NS,-10.4353,8337.32,-16.63,90,0.5222,0.4849,0.2991,False,False
4,RELIANCE.NS,-17.278,8793.23,-12.07,182,0.478,0.3238,0.2988,False,False
5,INFY.NS,-410.5265,7252.14,-27.48,166,0.494,0.3269,0.2985,False,False
1,RELIANCE.NS,4.5309,10494.1,4.94,167,0.5569,0.4401,0.2982,False,False
2,RELIANCE.NS,-2.3366,8648.97,-13.51,188,0.516,0.3645,0.2979,False,False
3,ITC.NS,0.5464,10645.31,6.45,187,0.5348,0.2329,0.2976,False,False
4,YESBANK.NS,-47.5755,6199.6,-38.0,99,0.5152,0.4541,0.2973,False,True
5,ICICIBANK.NS,-431.2841,7238.58,-27.61,166,0.4759,0.3246,0.297,False,False
1,INFY.NS,-111.1299,6823.1,-31.77,180,0.4833,0.3191,0.2967,False,False
2,ICICIBANK.NS,-277.9906,7891.79,-21.08,197,0.4975,0.2869,0.2964,False,False
3,ADANIPORTS.NS,-151.0586,6532.77,-34.67,169,0.5266,0.4816,0.2961,False,True
4,ICICIBANK.NS,-142.6853,7915.35,-20.85,201,0.4975,0.3256,0.2958,False,False
5,INFY.NS,-17.3907,9019.59,-9.8,206,0.4903,0.3524,0.2955,False,False
1,RELIANCE.NS,8.2662,11102.93,11.03,138,0.5217,0.2264,0.2952,False,False
2,INFY.NS,3.684,10275.52,2.76,142,0.5563,0.2317,0.2949,False,False
3,RELIANCE.NS,20.4068,15693.48,56.93,159,0.5409,0.1718,0.2946,False,False
4,ITC.NS,9.1333,13360.29,33.6,191,0.5236,0.1819,0.2944,False,False
5,ZEEL.NS,7.663,11519.36,15.19,180,0.5556,0.2213,0.2941,False,False
6,HINDUNILVR.NS,0.6876,10858.25,8.58,184,0.5543,0.2174,0.2938,False,False
7,RELIANCE.NS,25.2896,24580.67,145.81,82,0.6341,0.2658,0.2935,True,False
8,INFY.NS,20.6554,16065.48,60.65,109,0.6239,0.1857,0.2932,False,False
9,ITC.NS,-5.5901,10083.77,0.84,132,0.5,0.3696,0.2929,False,False
10,ADANIPORTS.NS,16.36,19399.92,94.0,159,0.5157,0.1855,0.2926,False,False
1,ICICIBANK.NS,8.2822,13574.85,35.75,88,0.5455,0.2693,0.2923,False,False
2,ZEEL.NS,-34.8466,6481.73,-35.18,58,0.5517,0.5294,0.292,False,True
3,ADANIPORTS.NS,-31.0565,11473.34,14.73,106,0.5377,0.4767,0.2917,False,False
4,ADANIPORTS.NS,-106.3053,22374.65,123.75,78,0.5256,0.3849,0.2914,False,False
5,INFY.NS,21.4906,20821.19,108.21,82,0.5732,0.2838,0.2911,False,False
1,YESBANK.NS,-19.8473,6104.43,-38.96,38,0.5263,0.6721,0.2908,False,True
